,Rank,Country,Population,World_Share(%),Land_Area_Km²
154,155,Chad,16425864,0.2,1259200
155,156,Somalia,15893222,0.2,627340
156,157,Zimbabwe,14862924,0.2,386850
157,158,Russia,145934462,1.9,16376870
158,159,China,1439323776,18.5,9388211
159,160,Equatorial Guinea,1402985,0.0,28050
160,161,Trinidad and Tobago,1399488,0.0,5130
161,162,Estonia,1326535,0.0,42390
162,163,Timor-Leste,1318445,0.0,14870
163,164,Guinea,13132795,0.2,245720
164,165,Rwanda,12952218,0.2,24670
165,166,Mexico,128932753,1.7,1943950
166,167,Mauritius,1271768,0.0,2030
167,168,Japan,126476461,1.6,364555
168,169,Benin,12123200,0.2,112760
169,170,Cyprus,1207359,0.0,9240
170,171,Kiribati,119449,0.0,810
171,172,Burundi,11890784,0.2,25680
172,173,Tunisia,11818619,0.2,155360
173,174,Tuvalu,11792,0.0,30
174,175,Bolivia,11673021,0.1,1083300
175,176,Eswatini,1160164,0.0,17200
176,177,Belgium,11589623,0.1,30280
177,178,Ethiopia,114963588,1.5,1000000
178,179,Haiti,11402528,0.1,27560
179,180,Cuba,11326616,0.1,106440
180,181,Grenada,112523,0.0,340
181,182,South Sudan,11193725,0.1,610952
182,183,St. Vincent & Grenadines,110940,0.0,390
183,184,Philippines,109581078,1.4,298170
184,185,Dominican Republic,10847910,0.1,48320
185,186,Nauru,10824,0.0,20
186,187,Czech Republic (Czechia),10708981,0.1,77240
187,188,Tonga,105695,0.0,720
188,189,Greece,10423054,0.1,128900
189,190,Egypt,102334404,1.3,995450
190,191,Jordan,10203134,0.1,88780
191,192,Portugal,10196709,0.1,91590
192,193,Azerbaijan,10139177,0.1,82658
193,194,Sweden,10099265,0.1,410340
194,195,India,0,0.0,2973190
